collection_object_id,guid,species,country,state,locality,lat,lon,elevation,life_stage,examined_for,detected,not_detected,presence
33467156,UNCG:Mamm:1657,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03827698,-83.45228498,992.005798,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33466857,UNCG:Mamm:1595,Napeozapus insignis,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03839499,-83.45228297,985.368958,adult,,,ectoparasite; endoparasite,1
33611129,UNCG:Mamm:3491,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03902799,-83.45224902,998.217834,adult,,,ectoparasite; endoparasite,1
33611246,UNCG:Mamm:2149,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03907502,-83.45224701,977.197876,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33704262,UNCG:Mamm:2243,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.039116,-83.452245,975.192261,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33704364,UNCG:Mamm:3507,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03892104,-83.452245,972.749573,subadult,,,ectoparasite; endoparasite,1
33466471,UNCG:Mamm:1578,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03850899,-83.45224399,975.57605,subadult,ectoparasite,ectoparasite,endoparasite,1
,,,,,,,,,,,,,
33466638,UNCG:Mamm:1632,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03850899,-83.45224399,975.57605,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
,,,,,,,,,,,,,
33466852,UNCG:Mamm:1594,Napeozapus insignis,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03850899,-83.45224399,975.57605,adult,,,ectoparasite; endoparasite,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
33704277,UNCG:Mamm:2290,Sorex cinereus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03850899,-83.45224399,975.57605,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33704354,UNCG:Mamm:3497,Peromyscus leucopus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03850899,-83.45224399,975.57605,adult,,,ectoparasite; endoparasite,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
33611102,UNCG:Mamm:3471,Peromyscus leucopus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.038655,-83.45224097,988.325623,adult,,,ectoparasite; endoparasite,1
,,,,,,,,,,,,,
33466408,UNCG:Mamm:1538,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03898198,-83.45221298,997.253113,adult,ectoparasite,ectoparasite,endoparasite,1
33466561,UNCG:Mamm:3269,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03880998,-83.45221097,941.992615,subadult,,,ectoparasite; endoparasite,1
33611169,UNCG:Mamm:2177,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03891098,-83.45219504,989.925354,adult,ectoparasite,ectoparasite,endoparasite,1
33466669,UNCG:Mamm:1584,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03834504,-83.45219303,977.23584,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33465948,UNCG:Mamm:1547,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03903504,-83.45218599,781.545776,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
